tick,phi_total,threat_delta,pc_N,wormhole_P,omega_coherency,omega_entangle,omega_novelty,ring_state,continuity_ok,action
238,0.9226,0.0155,0.2461,0.9406,118.8304,168.2505,72.4013,1.072,True,REWRITE:Ω_FRAME
239,0.9506,0.0115,0.7316,0.8325,119.2689,168.9871,72.7116,1.1049,True,REWRITE:Ω_FRAME
240,0.9394,0.5169,0.2457,0.3709,119.7646,169.7451,73.0311,1.0595,True,REWRITE:Ω_FRAME
241,0.9409,0.0098,0.4576,0.3717,120.2358,170.4299,73.3039,1.0036,True,REWRITE:Ω_FRAME
242,0.9381,0.0877,0.4045,1.0,120.7422,171.1254,73.575,1.0201,True,REWRITE:Ω_FRAME
243,0.9371,0.1224,0.4569,0.58,121.2035,171.8862,73.9368,1.0198,True,REWRITE:Ω_FRAME
244,0.9411,0.0104,0.4566,0.1092,121.7182,172.6449,74.2818,0.9728,True,REWRITE:Ω_FRAME
245,0.9502,0.0044,0.5614,0.2747,122.2709,173.4202,74.5947,1.056,True,REWRITE:Ω_FRAME
246,0.95,0.0351,0.3897,0.4737,122.7915,174.0808,74.8522,1.1252,True,REWRITE:Ω_FRAME
247,0.9458,0.0103,0.5026,0.995,123.3138,174.7927,75.1668,1.1187,True,REWRITE:Ω_FRAME
248,0.9264,0.0624,0.3892,0.8365,123.8167,175.5208,75.4418,1.0611,True,REWRITE:Ω_FRAME
249,0.925,0.0267,0.5018,0.451,124.3181,176.2376,75.7494,1.0832,True,REWRITE:Ω_FRAME
250,0.9203,0.2459,0.2439,0.3097,124.8178,176.9234,76.0792,1.0329,True,REWRITE:Ω_FRAME
251,0.9328,0.0442,0.7061,0.8543,125.3046,177.6379,76.3839,1.0413,True,REWRITE:Ω_FRAME
252,0.9127,0.0069,0.388,0.3508,125.793,178.2997,76.7114,1.0779,True,REWRITE:Ω_FRAME
253,0.9141,0.1716,0.3878,0.6471,126.2533,179.0121,77.0566,1.0406,True,REWRITE:Ω_FRAME
254,0.9157,0.2025,0.5578,0.7617,126.7415,179.7296,77.3773,1.0339,True,REWRITE:Ω_FRAME
255,0.9104,0.022,0.459,0.0328,127.3226,180.4797,77.6827,1.0382,True,REWRITE:Ω_FRAME
256,0.9245,0.0029,0.2429,0.9188,127.8025,181.1476,77.9387,1.007,True,REWRITE:Ω_FRAME
257,0.9323,0.045,0.5566,0.7989,128.2857,181.9146,78.2317,1.0497,True,REWRITE:Ω_FRAME
258,0.9262,0.1578,0.3864,0.1502,128.7841,182.5612,78.5595,0.996,True,REWRITE:Ω_FRAME
259,0.9575,0.0193,0.629,0.3476,129.3069,183.2479,78.8786,0.9391,True,REWRITE:Ω_FRAME
260,0.9223,0.2306,0.4515,0.8215,129.7771,183.905,79.2323,0.9594,True,REWRITE:Ω_FRAME
261,0.9197,0.1086,0.3856,0.6009,130.3203,184.6107,79.4587,0.9952,True,REWRITE:Ω_FRAME
262,0.9249,0.0115,0.2419,0.6212,130.8671,185.2508,79.7678,0.9993,True,REWRITE:Ω_FRAME
263,0.9423,0.03,0.6791,0.9685,131.4027,185.9671,80.153,0.9386,True,REWRITE:Ω_FRAME
264,0.9081,0.138,0.3849,0.9844,131.8167,186.6541,80.5078,0.9461,True,REWRITE:Ω_FRAME
265,0.9173,0.0198,0.5536,0.355,132.2813,187.4251,80.8255,0.9444,True,REWRITE:Ω_FRAME
266,0.9218,0.0205,0.3843,0.9047,132.7717,188.1546,81.1281,0.9591,True,REWRITE:Ω_FRAME
267,0.9304,0.3233,0.4493,0.7651,133.323,188.8017,81.4503,0.96,True,REWRITE:Ω_FRAME
268,0.9257,0.0801,0.2409,0.1145,133.8233,189.4148,81.705,0.9181,True,REWRITE:Ω_FRAME
269,0.9465,0.1621,0.6764,0.9376,134.2819,190.1451,81.9835,0.9642,True,REWRITE:Ω_FRAME
270,0.9178,0.1079,0.2406,0.7593,134.8411,190.7851,82.3162,0.9978,True,REWRITE:Ω_FRAME
271,0.9337,0.0369,0.5302,0.5911,135.3452,191.452,82.6723,1.0226,True,REWRITE:Ω_FRAME
272,0.9359,0.0045,0.551,0.6999,135.8144,192.179,82.8656,1.0496,True,REWRITE:Ω_FRAME
273,0.9434,0.1853,0.3826,0.9646,136.3424,192.8712,83.1312,1.1005,True,REWRITE:Ω_FRAME
274,0.9337,0.0346,0.4473,0.9814,136.8526,193.6076,83.4051,1.0547,True,REWRITE:Ω_FRAME
275,0.9458,0.0643,0.6224,0.9392,137.3816,194.2897,83.7607,1.0894,True,REWRITE:Ω_FRAME
276,0.9219,0.0318,0.2397,0.5427,137.929,194.9716,84.0979,1.0307,True,REWRITE:Ω_FRAME
277,0.9224,0.1702,0.3816,0.1039,138.4388,195.6039,84.3968,1.007,True,REWRITE:Ω_FRAME
278,0.9133,0.0158,0.4462,0.0521,138.9818,196.3437,84.7384,0.9888,True,REWRITE:Ω_FRAME
279,0.9272,0.0098,0.6721,0.2251,139.5264,197.0848,85.0348,0.9717,True,REWRITE:Ω_FRAME
280,0.889,0.0896,0.2391,0.0447,139.949,197.8047,85.3275,0.9391,True,REWRITE:Ω_FRAME
281,0.8962,0.2246,0.5479,0.3601,140.4771,198.4999,85.6287,0.9764,True,REWRITE:Ω_FRAME
282,0.8986,0.1697,0.2388,0.7693,140.9749,199.2045,85.9093,0.9602,True,REWRITE:Ω_FRAME
283,0.8978,0.0149,0.4448,0.9381,141.4893,199.895,86.2128,0.9843,True,REWRITE:Ω_FRAME
284,0.8897,0.0244,0.5469,0.1311,141.9848,200.6101,86.4592,0.995,True,REWRITE:Ω_FRAME
285,0.8951,0.0796,0.5465,0.5208,142.5342,201.3086,86.7515,0.9816,True,REWRITE:Ω_FRAME
286,0.9041,0.1339,0.3795,0.7678,143.077,202.062,87.0619,0.9812,True,REWRITE:Ω_FRAME
287,0.9265,0.0036,0.6183,0.9675,143.5258,202.7629,87.3269,1.0608,True,REWRITE:Ω_FRAME
288,0.9012,0.1952,0.2949,0.0922,144.0728,203.4319,87.5202,1.0731,True,REWRITE:Ω_FRAME
289,0.9061,0.1492,0.5452,0.8652,144.5612,204.1027,87.823,1.1377,True,REWRITE:Ω_FRAME
290,0.9152,0.0817,0.3786,0.8866,145.0927,204.7867,88.1061,1.0818,True,REWRITE:Ω_FRAME
291,0.9175,0.1925,0.4426,0.9988,145.6399,205.4594,88.4383,1.0881,True,REWRITE:Ω_FRAME
292,0.9223,0.0963,0.2373,0.694,146.1803,206.1016,88.7007,1.0773,True,REWRITE:Ω_FRAME
293,0.9535,0.0307,0.6155,0.7604,146.6561,206.8246,89.0029,1.0307,True,REWRITE:Ω_FRAME
294,0.9336,0.0829,0.3777,0.7103,147.1678,207.4841,89.2928,0.9619,True,REWRITE:Ω_FRAME
295,0.9326,0.0672,0.4871,0.1417,147.6719,208.1735,89.577,0.9596,True,REWRITE:Ω_FRAME
296,0.9445,0.0127,0.4868,0.0049,148.1478,208.8905,89.8539,0.9949,True,REWRITE:Ω_FRAME
297,0.9503,0.0541,0.377,0.946,148.6343,209.5862,90.1136,0.9929,True,REWRITE:Ω_FRAME
298,0.951,0.1595,0.3768,0.9996,149.0812,210.3141,90.3295,0.9849,True,REWRITE:Ω_FRAME
299,0.9776,0.0845,0.6847,0.4691,149.6191,211.0846,90.6501,1.0394,True,REWRITE:Ω_FRAME
300,0.9388,0.0077,0.3763,0.0096,150.1665,211.8211,90.9766,1.048,True,REWRITE:Ω_FRAME
301,0.9451,0.0072,0.3761,0.5806,150.7093,212.4764,91.2837,1.0642,True,REWRITE:Ω_FRAME
302,0.9477,0.1194,0.3759,0.9135,151.1736,213.151,91.615,1.0595,True,REWRITE:Ω_FRAME
303,0.9381,0.1747,0.5199,0.9977,151.7064,213.8343,91.9424,0.9967,True,REWRITE:Ω_FRAME
304,0.9276,0.0634,0.3755,0.3147,152.1778,214.5626,92.2315,1.019,True,REWRITE:Ω_FRAME
305,0.9588,0.0822,0.6113,0.6927,152.626,215.3631,92.4966,1.0574,True,REWRITE:Ω_FRAME
306,0.9402,0.2388,0.2354,0.6516,153.1388,216.0067,92.7762,1.0828,True,REWRITE:Ω_FRAME
307,0.9662,0.0063,0.6106,0.7156,153.634,216.7347,93.1337,1.0923,True,REWRITE:Ω_FRAME
308,0.9328,0.014,0.3746,0.9925,154.1617,217.447,93.451,1.1255,True,REWRITE:Ω_FRAME
309,0.9387,0.0047,0.5389,0.5095,154.6354,218.1317,93.727,1.177,True,REWRITE:Ω_FRAME
310,0.9331,0.0458,0.2349,0.4186,155.1158,218.789,93.9893,1.2096,True,REWRITE:Ω_FRAME
311,0.9646,0.0472,0.6595,0.0033,155.6549,219.5084,94.2763,1.1503,True,REWRITE:Ω_FRAME
312,0.9421,0.026,0.2346,0.764,156.0472,220.1967,94.5589,1.0897,True,REWRITE:Ω_FRAME
313,0.9413,0.0273,0.3736,0.0957,156.535,220.8764,94.8669,1.0921,True,REWRITE:Ω_FRAME
314,0.9606,0.0017,0.6082,0.5023,157.0011,221.6076,95.1967,1.0678,True,REWRITE:Ω_FRAME
315,0.9343,0.0289,0.4366,0.3735,157.5544,222.33,95.5193,1.0692,True,REWRITE:Ω_FRAME
316,0.9318,0.1406,0.2341,0.348,158.0522,223.0566,95.8061,1.0023,True,REWRITE:Ω_FRAME
317,0.93,0.203,0.5366,0.1086,158.5262,223.7323,96.1014,0.9999,True,REWRITE:Ω_FRAME
318,0.9448,0.0658,0.3726,0.7904,159.0485,224.4647,96.4147,0.9999,True,REWRITE:Ω_FRAME
319,0.95,0.0299,0.5679,0.992,159.5536,225.2169,96.7131,0.9859,True,REWRITE:Ω_FRAME
320,0.9475,0.1115,0.3722,0.7369,160.0395,225.998,97.0376,1.0153,True,REWRITE:Ω_FRAME
321,0.9484,0.2546,0.5354,0.2831,160.5972,226.6784,97.2773,0.9072,False,REWRITE:Ω_FRAME
322,0.9461,0.0975,0.3718,0.6598,161.166,227.402,97.6077,0.9662,True,REWRITE:Ω_FRAME
323,0.9331,0.0719,0.5774,0.4571,161.6256,228.1721,97.9106,0.9409,True,REWRITE:Ω_FRAME
324,0.9304,0.0179,0.4345,0.903,162.0727,228.868,98.2028,0.9615,True,REWRITE:Ω_FRAME
325,0.9266,0.0612,0.3712,0.7778,162.6417,229.5884,98.4833,0.9134,True,REWRITE:Ω_FRAME
326,0.9259,0.1011,0.371,0.3899,163.1308,230.2314,98.8215,0.9707,True,REWRITE:Ω_FRAME
327,0.9313,0.1196,0.4785,0.8868,163.6154,230.9069,99.1575,0.9941,True,REWRITE:Ω_FRAME
328,0.9376,0.2113,0.3706,0.8808,164.1662,231.5944,99.4361,0.9994,True,REWRITE:Ω_FRAME
329,0.9666,0.0068,0.7207,0.8589,164.7013,232.3169,99.7174,1.0605,True,REWRITE:Ω_FRAME
330,0.9381,0.05,0.2324,0.9748,165.1813,233.0362,100.0339,1.0354,True,REWRITE:Ω_FRAME
331,0.944,0.1954,0.4329,0.9673,165.6598,233.7363,100.3646,1.0315,True,REWRITE:Ω_FRAME
332,0.9475,0.092,0.4327,0.9979,166.1736,234.3847,100.6922,0.9949,True,REWRITE:Ω_FRAME
333,0.9402,0.0073,0.3696,0.9982,166.7235,235.1049,100.9713,0.989,True,REWRITE:Ω_FRAME
334,0.9286,0.1699,0.3695,0.6944,167.2094,235.834,101.254,1.0372,True,REWRITE:Ω_FRAME
335,0.9507,0.1056,0.6897,0.0196,167.7551,236.534,101.56,1.014,True,REWRITE:Ω_FRAME
336,0.9175,0.0206,0.2317,0.1125,168.2584,237.3055,101.7687,1.0253,True,REWRITE:Ω_FRAME
337,0.9151,0.1567,0.4316,0.9895,168.795,237.9459,102.1044,1.014,True,REWRITE:Ω_FRAME
338,0.9093,0.0356,0.3687,0.1135,169.2577,238.6442,102.3783,1.0442,True,REWRITE:Ω_FRAME
339,0.9375,0.0414,0.6003,0.9448,169.6571,239.2488,102.7055,1.0039,True,REWRITE:Ω_FRAME
340,0.9112,0.1009,0.3683,0.7433,170.1448,239.9378,103.0269,1.0002,True,REWRITE:Ω_FRAME
341,0.9265,0.1333,0.5997,0.8523,170.6389,240.684,103.3275,0.9935,True,REWRITE:Ω_FRAME
342,0.9096,0.1649,0.3255,0.9827,171.1423,241.4072,103.7192,0.988,True,REWRITE:Ω_FRAME
343,0.9198,0.3827,0.4746,0.6689,171.6243,242.158,104.0099,0.9383,True,REWRITE:Ω_FRAME
344,0.9236,0.063,0.5291,0.1723,172.0634,242.8555,104.2498,0.9385,True,REWRITE:Ω_FRAME
345,0.9211,0.1876,0.3674,0.8411,172.5719,243.5297,104.6248,0.9108,True,REWRITE:Ω_FRAME
346,0.9234,0.0123,0.2305,0.0207,173.0261,244.2424,104.9671,0.9355,True,REWRITE:Ω_FRAME
347,0.9547,0.0521,0.5979,0.1513,173.6094,244.9346,105.2201,1.0013,True,REWRITE:Ω_FRAME
348,0.9234,0.0935,0.2303,0.3919,174.1197,245.6607,105.5528,1.0217,True,REWRITE:Ω_FRAME
349,0.9511,0.03,0.5973,0.9886,174.6062,246.313,105.8246,1.0176,True,REWRITE:Ω_FRAME
350,0.9192,0.1792,0.473,0.1835,175.0849,246.9266,106.1714,0.9894,True,REWRITE:Ω_FRAME
351,0.9215,0.0066,0.535,0.3785,175.5719,247.5768,106.4425,1.05,True,REWRITE:Ω_FRAME
352,0.9204,0.0793,0.2298,0.9983,176.0886,248.2769,106.7702,1.0819,True,REWRITE:Ω_FRAME
353,0.9087,0.0478,0.5268,1.0,176.5306,248.9826,107.1122,1.064,True,REWRITE:Ω_FRAME
354,0.8996,0.0918,0.3658,0.9909,177.0109,249.6643,107.4197,1.0633,True,REWRITE:Ω_FRAME
355,0.8927,0.0518,0.4278,0.6662,177.5719,250.3034,107.7135,1.0166,True,REWRITE:Ω_FRAME
356,0.8751,0.0583,0.5261,0.5394,178.0125,250.9967,107.9873,1.0202,True,REWRITE:Ω_FRAME
357,0.8713,0.0488,0.3653,1.0,178.5518,251.6833,108.2707,1.0703,True,REWRITE:Ω_FRAME
358,0.871,0.2359,0.2292,1.0,179.0592,252.3582,108.6105,1.0819,True,REWRITE:Ω_FRAME
359,0.886,0.1213,0.7127,0.8458,179.5107,253.0492,108.8991,1.1156,True,REWRITE:Ω_FRAME
360,0.8538,0.0084,0.2838,0.6848,179.9732,253.7229,109.2141,1.0823,True,REWRITE:Ω_FRAME
361,0.843,0.1043,0.3646,0.9458,180.444,254.3441,109.5249,0.9966,True,STABLE
362,0.845,0.0137,0.4264,0.7752,180.9215,254.9609,109.8883,1.019,True,STABLE
363,0.8751,0.0701,0.5934,0.9992,181.4585,255.715,110.1079,1.008,True,REWRITE:Ω_FRAME
364,0.8539,0.0082,0.3641,0.9969,181.975,256.3632,110.3776,0.9793,True,REWRITE:Ω_FRAME
365,0.84,0.1423,0.5239,0.6182,182.4553,256.9623,110.6982,0.9611,True,STABLE
366,0.8408,0.0502,0.2283,0.8152,182.9168,257.6655,110.9899,0.9348,True,STABLE
367,0.8444,0.176,0.5032,0.8785,183.4716,258.3183,111.2347,0.9375,True,STABLE
368,0.8325,0.0957,0.4252,0.6865,183.9555,259.0305,111.5949,0.9374,True,STABLE
369,0.8438,0.1898,0.5229,0.9531,184.4318,259.7256,111.8734,0.9894,True,STABLE
370,0.8463,0.0662,0.3631,0.9206,184.9706,260.4229,112.2082,0.9725,True,STABLE
371,0.8711,0.0425,0.5912,0.184,185.5709,261.1007,112.5442,0.9436,True,REWRITE:Ω_FRAME
372,0.8562,0.0203,0.2277,0.9165,186.0389,261.7603,112.883,0.9502,True,REWRITE:Ω_FRAME
373,0.8578,0.0516,0.522,0.4018,186.6118,262.4454,113.1617,1.0023,True,REWRITE:Ω_FRAME
374,0.8647,0.0606,0.4678,0.9714,187.1652,263.1178,113.4228,0.9689,True,REWRITE:Ω_FRAME
375,0.8686,0.2258,0.4675,0.8315,187.7723,263.7867,113.6833,0.9664,True,REWRITE:Ω_FRAME
376,0.8691,0.0633,0.3621,0.9985,188.3095,264.48,114.001,0.9763,True,REWRITE:Ω_FRAME
377,0.9035,0.1268,0.6383,0.1174,188.8167,265.1704,114.1973,0.9786,True,REWRITE:Ω_FRAME
378,0.8807,0.2258,0.2271,0.5195,189.3575,265.8843,114.59,0.9768,True,REWRITE:Ω_FRAME
379,0.9129,0.1655,0.5891,0.9467,189.8365,266.6051,114.8543,0.9926,True,REWRITE:Ω_FRAME
380,0.8818,0.0234,0.3615,0.5815,190.363,267.3022,115.2373,1.0005,True,REWRITE:Ω_FRAME
381,0.8924,0.0481,0.3614,0.3256,190.855,267.947,115.5152,1.003,True,REWRITE:Ω_FRAME
382,0.896,0.0806,0.2267,0.6317,191.3505,268.7118,115.7954,1.0447,True,REWRITE:Ω_FRAME
383,0.8987,0.3529,0.5708,0.9997,191.852,269.3887,116.129,1.0048,True,REWRITE:Ω_FRAME
384,0.8906,0.0934,0.5194,0.4377,192.4402,270.0321,116.4442,1.0235,True,REWRITE:Ω_FRAME
385,0.8966,0.0001,0.3607,0.5459,192.9158,270.7316,116.6858,1.052,True,REWRITE:Ω_FRAME
386,0.8974,0.0491,0.4218,0.3584,193.5066,271.4475,117.0267,1.0509,True,REWRITE:Ω_FRAME
387,0.8953,0.0623,0.4217,0.9654,194.033,272.1481,117.3386,1.0302,True,REWRITE:Ω_FRAME
388,0.8948,0.0512,0.2261,0.6995,194.5381,272.9193,117.6325,1.0755,True,REWRITE:Ω_FRAME
389,0.9225,0.2415,0.7007,0.429,194.9654,273.565,117.916,1.0562,True,REWRITE:Ω_FRAME
390,0.892,0.2017,0.3599,0.9778,195.448,274.2244,118.2016,1.0208,True,REWRITE:Ω_FRAME
391,0.9054,0.0841,0.5254,0.9851,195.9517,274.9672,118.4455,1.0984,True,REWRITE:Ω_FRAME
392,0.9026,0.0644,0.3596,0.761,196.432,275.7047,118.7923,1.0812,True,REWRITE:Ω_FRAME
393,0.9042,0.1315,0.3595,0.3581,196.9253,276.3727,119.0061,1.0512,True,REWRITE:Ω_FRAME
394,0.9139,0.0924,0.3593,0.9999,197.3948,277.0939,119.3143,1.0547,True,REWRITE:Ω_FRAME
395,0.947,0.2891,0.6532,0.9994,197.8929,277.8098,119.6169,1.0275,True,REWRITE:Ω_FRAME
396,0.923,0.1348,0.2254,0.5801,198.405,278.5211,119.9359,1.0164,True,REWRITE:Ω_FRAME
397,0.926,0.0672,0.3589,0.9638,198.9452,279.2262,120.214,0.9781,True,REWRITE:Ω_FRAME
398,0.9429,0.157,0.5164,0.933,199.3427,279.9065,120.4929,1.0312,True,REWRITE:Ω_FRAME
399,0.9426,0.0085,0.5572,0.8066,199.8743,280.6794,120.8038,0.9993,True,REWRITE:Ω_FRAME
400,0.9419,0.0346,0.225,0.4421,200.3331,281.4415,121.125,1.0302,True,REWRITE:Ω_FRAME
401,0.9496,0.17,0.5157,0.762,200.8236,282.1375,121.4009,1.059,True,REWRITE:Ω_FRAME
402,0.9406,0.0294,0.3581,0.9719,201.2941,282.9061,121.6909,1.0656,True,REWRITE:Ω_FRAME
403,0.9421,0.0989,0.4188,0.9487,201.7521,283.6123,121.9751,1.0622,True,REWRITE:Ω_FRAME
404,0.9388,0.2142,0.4953,0.9933,202.2363,284.2835,122.28,1.0454,True,REWRITE:Ω_FRAME
405,0.9328,0.0617,0.5149,0.6879,202.7542,284.9474,122.5445,1.0554,True,REWRITE:Ω_FRAME
406,0.9324,0.0413,0.3576,0.7538,203.3,285.6733,122.8522,1.0248,True,REWRITE:Ω_FRAME
407,0.9569,0.0995,0.6303,0.9622,203.8117,286.3494,123.1498,1.0043,True,REWRITE:Ω_FRAME
408,0.9385,0.0099,0.2242,0.3152,204.2918,287.0813,123.4362,0.9862,True,REWRITE:Ω_FRAME
409,0.9383,0.0628,0.514,0.976,204.783,287.8041,123.7322,0.9635,True,REWRITE:Ω_FRAME
410,0.9369,0.0617,0.357,0.4786,205.2613,288.5348,124.0593,1.0021,True,REWRITE:Ω_FRAME
411,0.9353,0.0436,0.4175,0.9693,205.7333,289.1929,124.3614,1.0398,True,REWRITE:Ω_FRAME
412,0.9404,0.0263,0.3567,0.7378,206.2268,289.9371,124.5827,1.0393,True,REWRITE:Ω_FRAME
413,0.9687,0.0538,0.5808,0.9507,206.7323,290.6107,124.8946,1.0683,True,REWRITE:Ω_FRAME
414,0.9434,0.0587,0.3564,0.7414,207.2153,291.3237,125.2412,1.0237,True,REWRITE:Ω_FRAME
415,0.9365,0.1051,0.5203,0.2914,207.7061,291.9921,125.5565,1.0628,True,REWRITE:Ω_FRAME
416,0.9285,0.1308,0.3561,0.6862,208.2023,292.6488,125.8782,1.03,True,REWRITE:Ω_FRAME
417,0.9327,0.0078,0.5124,0.4181,208.7345,293.3263,126.1091,1.0058,True,REWRITE:Ω_FRAME
418,0.9315,0.1608,0.2234,0.8959,209.1934,294.0882,126.4573,0.9936,True,REWRITE:Ω_FRAME
419,0.9521,0.0454,0.7665,0.9172,209.6819,294.7587,126.7586,1.0242,True,REWRITE:Ω_FRAME
420,0.9299,0.0299,0.2232,0.0047,210.1497,295.4102,127.08,1.0591,True,REWRITE:Ω_FRAME
421,0.9248,0.499,0.3554,0.0046,210.6299,296.1469,127.3708,0.9671,True,REWRITE:Ω_FRAME
422,0.9225,0.1468,0.4157,0.5664,211.1801,296.8161,127.6596,0.971,True,REWRITE:Ω_FRAME
423,0.9179,0.0108,0.4583,0.9564,211.6259,297.6011,128.0091,1.0263,True,REWRITE:Ω_FRAME
424,0.9202,0.0965,0.4153,0.9983,212.1634,298.2512,128.2663,1.0046,True,REWRITE:Ω_FRAME
425,0.917,0.027,0.5108,0.9865,212.6589,299.0103,128.5583,0.9984,True,REWRITE:Ω_FRAME
426,0.9194,0.0686,0.3547,0.008,213.1241,299.6882,128.859,1.0259,True,REWRITE:Ω_FRAME
427,0.9147,0.0685,0.4149,0.592,213.6818,300.3566,129.1468,1.0036,True,REWRITE:Ω_FRAME
428,0.9211,0.0957,0.5102,0.9812,214.1821,300.9979,129.4056,0.9746,True,REWRITE:Ω_FRAME
429,0.9225,0.011,0.51,0.7485,214.6456,301.7101,129.7722,0.9308,True,REWRITE:Ω_FRAME
430,0.9182,0.0328,0.2223,0.9966,215.1385,302.4052,130.0745,0.9635,True,REWRITE:Ω_FRAME
431,0.9388,0.0148,0.5929,0.999,215.6689,303.0986,130.3867,0.9658,True,REWRITE:Ω_FRAME
432,0.924,0.0523,0.2222,0.0266,216.1555,303.7578,130.72,1.0201,True,REWRITE:Ω_FRAME
433,0.9157,0.0351,0.5092,0.7116,216.631,304.4609,131.1203,1.0072,True,REWRITE:Ω_FRAME
434,0.9101,0.041,0.5091,0.7197,217.1252,305.1969,131.3759,1.0322,True,REWRITE:Ω_FRAME
435,0.911,0.0278,0.4136,0.7493,217.5666,305.9273,131.712,1.009,True,REWRITE:Ω_FRAME
436,0.9051,0.2108,0.3534,0.1758,218.0984,306.5813,131.9907,0.9704,True,REWRITE:Ω_FRAME
437,0.904,0.0077,0.5085,0.1252,218.6188,307.2196,132.3162,0.9969,True,REWRITE:Ω_FRAME
438,0.9088,0.2219,0.2217,0.9121,219.1376,307.923,132.6001,1.0477,True,REWRITE:Ω_FRAME
439,0.9364,0.0228,0.6225,0.9613,219.6052,308.671,132.8844,1.0861,True,REWRITE:Ω_FRAME
440,0.9171,0.0421,0.4728,0.0354,220.1532,309.3306,133.1727,1.051,True,REWRITE:Ω_FRAME
441,0.917,0.066,0.5077,0.0166,220.6958,310.0568,133.5345,1.0116,True,REWRITE:Ω_FRAME
442,0.9106,0.0245,0.2213,0.974,221.195,310.7141,133.7866,1.0129,True,REWRITE:Ω_FRAME
443,0.9069,0.1279,0.5742,0.6073,221.6691,311.4381,134.0642,1.0391,True,REWRITE:Ω_FRAME
444,0.9081,0.0817,0.3524,0.7504,222.1969,312.1145,134.3342,1.0343,True,REWRITE:Ω_FRAME
445,0.9027,0.2494,0.3522,0.1289,222.6923,312.8522,134.6222,1.0638,True,REWRITE:Ω_FRAME
446,0.8965,0.0451,0.3521,0.9691,223.205,313.5346,134.9507,1.0629,True,REWRITE:Ω_FRAME
447,0.8962,0.0666,0.5367,0.9722,223.6993,314.2559,135.2803,1.0079,True,REWRITE:Ω_FRAME
448,0.8907,0.0307,0.2208,0.8016,224.2138,314.9472,135.6105,0.9519,True,REWRITE:Ω_FRAME
449,0.9203,0.0758,0.6396,0.9849,224.7589,315.6501,135.9387,0.9719,True,REWRITE:Ω_FRAME
450,0.9085,0.0962,0.3516,0.415,225.272,316.3217,136.2433,0.9781,True,REWRITE:Ω_FRAME
451,0.908,0.1134,0.4112,0.9717,225.772,317.045,136.6139,0.9634,True,REWRITE:Ω_FRAME
452,0.9068,0.2942,0.3513,0.7225,226.277,317.825,136.9205,0.9511,True,REWRITE:Ω_FRAME
453,0.9125,0.09,0.3512,0.9772,226.754,318.4493,137.2914,0.8992,True,REWRITE:Ω_FRAME
454,0.9154,0.0614,0.5053,0.9942,227.2656,319.1891,137.479,0.8814,True,REWRITE:Ω_FRAME
455,0.942,0.0122,0.6189,0.794,227.7836,319.8461,137.6546,0.8784,True,REWRITE:Ω_FRAME
456,0.9179,0.0251,0.2202,0.9619,228.2975,320.5594,137.9203,0.9381,True,REWRITE:Ω_FRAME
457,0.9191,0.1115,0.3507,0.3057,228.7987,321.2054,138.259,0.9641,True,REWRITE:Ω_FRAME
458,0.9148,0.1635,0.4524,0.9205,229.2633,321.9536,138.5426,0.9891,True,REWRITE:Ω_FRAME
459,0.9255,0.0244,0.5709,0.8442,229.7221,322.5967,138.868,0.9971,True,REWRITE:Ω_FRAME
460,0.9213,0.0796,0.2199,0.5378,230.1998,323.2565,139.2278,1.0032,True,REWRITE:Ω_FRAME
461,0.9407,0.0493,0.6814,0.9895,230.7139,323.9689,139.5694,0.9941,True,REWRITE:Ω_FRAME
462,0.9157,0.0738,0.2197,0.9494,231.1924,324.6746,139.9003,1.0192,True,REWRITE:Ω_FRAME
463,0.9181,0.0058,0.4843,0.958,231.6974,325.386,140.153,0.9943,True,REWRITE:Ω_FRAME
464,0.9176,0.0749,0.5036,0.9165,232.2059,326.0985,140.4518,1.0492,True,REWRITE:Ω_FRAME
465,0.9146,0.0004,0.3497,0.9145,232.6867,326.8052,140.7063,1.0756,True,REWRITE:Ω_FRAME
466,0.9169,0.1143,0.2194,0.4338,233.1518,327.5086,141.001,1.0449,True,REWRITE:Ω_FRAME
467,0.9483,0.0124,0.6355,0.5347,233.6793,328.2327,141.262,1.01,True,REWRITE:Ω_FRAME
468,0.922,0.0404,0.3494,0.4638,234.1378,328.9898,141.4772,0.9787,True,REWRITE:Ω_FRAME
469,0.9228,0.0323,0.5027,0.6125,234.6165,329.682,141.7429,0.9738,True,REWRITE:Ω_FRAME
470,0.9193,0.045,0.3491,0.9994,235.1131,330.4066,141.9983,0.8663,False,REWRITE:Ω_FRAME
471,0.9256,0.0799,0.4504,0.8526,235.5706,331.1547,142.343,0.8854,True,REWRITE:Ω_FRAME
472,0.9258,0.0205,0.3489,0.6397,236.0349,331.7972,142.6088,0.9207,True,REWRITE:Ω_FRAME
473,0.9273,0.0787,0.502,0.8207,236.5313,332.5639,142.9143,1.0002,True,REWRITE:Ω_FRAME
474,0.9276,0.0044,0.4079,0.9557,237.0112,333.2957,143.1974,0.9925,True,REWRITE:Ω_FRAME
475,0.927,0.0126,0.5677,0.4987,237.4763,334.0036,143.5421,1.0063,True,REWRITE:Ω_FRAME
476,0.9284,0.0204,0.4076,0.9436,238.0513,334.7558,143.8805,1.0431,True,REWRITE:Ω_FRAME
477,0.9358,0.1563,0.3483,0.3641,238.589,335.4659,144.1982,0.9929,True,REWRITE:Ω_FRAME
